Epoca,Iteracao,Erro_Quadratico
42,3,0.027914024826561856
42,4,0.04797914014107902
43,1,0.024530690542294814
43,2,0.014171263250137418
43,3,0.04109190196173506
43,4,0.214323986089109
44,1,0.04448315456492555
44,2,0.013560595704758103
44,3,0.022480124651922707
44,4,0.21049321729203324
45,1,0.024934653694382677
45,2,0.013771502408955905
45,3,0.04234100445635137
45,4,0.2068626343735014
46,1,0.19050444833431557
46,2,0.05318413973228805
46,3,0.015238426378846138
46,4,0.026203052951517855
47,1,0.045080628942485
47,2,0.012572643684981523
47,3,0.02245555360889781
47,4,0.2016968102395011
48,1,0.024836772230308245
48,2,0.1893847896894565
48,3,0.015013514902664333
48,4,0.04986267584129659
49,1,0.18372197417956362
49,2,0.02851789343186961
49,3,0.05065763418443325
49,4,0.013027392923316686
50,1,0.024196908055024405
50,2,0.1858865208315161
50,3,0.01391478094218293
50,4,0.04899859340650916
51,1,0.18016362839402558
51,2,0.014230825642228963
51,3,0.05021960834690731
51,4,0.025182030413504745
52,1,0.1785744420281733
52,2,0.013678934632340652
52,3,0.04961785984601666
52,4,0.024880087083196518
53,1,0.023415836855226767
53,2,0.1803696758566901
53,3,0.048800268361430595
53,4,0.011302453739745774
54,1,0.010918466314589708
54,2,0.04205694309343596
54,3,0.18284817430317804
54,4,0.024890025240955058
55,1,0.02340776486899067
55,2,0.17499421156252482
55,3,0.0486613742384802
55,4,0.010762611812878698
56,1,0.023325125296714978
56,2,0.009836305183821056
56,3,0.040603451331293186
56,4,0.18069334612156068
57,1,0.043198547184879005
57,2,0.02214163367015109
57,3,0.008876779426282505
57,4,0.17724796184502095
58,1,0.04340542924858406
58,2,0.009249948937026225
58,3,0.02183640212238908
58,4,0.17398777539601015
59,1,0.023910073917106922
59,2,0.009440677432765901
59,3,0.16461610404075644
59,4,0.047825130203525024
60,1,0.02378145899411657
60,2,0.009159913237696523
60,3,0.1625986189776671
60,4,0.04722375487479758
61,1,0.04237290663456768
61,2,0.022307672920436374
61,3,0.008121402362232674
61,4,0.16663240377499167
62,1,0.023825162140966347
62,2,0.008760443804066856
62,3,0.157591201217936
62,4,0.04655875478926171
63,1,0.00900901249876009
63,2,0.040876618819964884
63,3,0.15847985841140183
63,4,0.025202633805438558
64,1,0.041381298953163864
64,2,0.15479291995783376
64,3,0.025619485562937264
64,4,0.008798845244721186
65,1,0.14668744055683558
65,2,0.047160479476260446
65,3,0.025224343993891594
65,4,0.008448684731739547
66,1,0.008217374287670165
66,2,0.03911524080203822
66,3,0.02143119518880047
66,4,0.15554223357973118
67,1,0.1426475783044375
67,2,0.00942257607718143
67,3,0.025996140472211805
67,4,0.0433020585154939
68,1,0.02288030434716132
68,2,0.037491883517083484
68,3,0.006724309697482643
68,4,0.15115129742186234
69,1,0.13860718276913614
69,2,0.044446936232854437
69,3,0.008072685045709108
69,4,0.024282439203484676
70,1,0.13738845213125433
70,2,0.025911072189564094
70,3,0.04175193965770185
70,4,0.007320367477294871
71,1,0.022405091328599556
71,2,0.03549296981991623
71,3,0.14419852185919674
71,4,0.0072220050755349395
72,1,0.0070472346370473475
72,2,0.02211550656058791
72,3,0.1372660768307805
72,4,0.04007600025877802
73,1,0.0224506514732692
73,2,0.006494741920447821
73,3,0.03412461167113235
73,4,0.14019754511179314
74,1,0.12856217798243158
74,2,0.04090699130928551
74,3,0.007136489015292341
74,4,0.02384803999228652
75,1,0.006560399162559284
75,2,0.12827633368848043
75,3,0.02489158154385954
75,4,0.03781166590865267
76,1,0.022011881166830713
76,2,0.006011595368375584
76,3,0.03225056164089975
76,4,0.13416072839741508
77,1,0.0336705289747565
77,2,0.12772413041996467
77,3,0.006700680176553624
77,4,0.02361190378234439
78,1,0.03317911982122449
78,2,0.12560487735979464
78,3,0.023874741880858218
78,4,0.006171614084306985
79,1,0.0326947527755363
79,2,0.005555659806471076
79,3,0.12431162861407256
79,4,0.023405581334180855
80,1,0.11691919040991197
80,2,0.006816824937542757
80,3,0.03624606859823645
80,4,0.02306343412773374
81,1,0.03129254788104154
81,2,0.020567075631843436
81,3,0.12256667227402857
81,4,0.005785975961813991
82,1,0.021582790014530884
82,2,0.11592146391228629
82,3,0.03438559939199039
82,4,0.005644618403234882
83,1,0.005532717965150397
83,2,0.029831091800798588
83,3,0.11642788767861488
83,4,0.022905035552016298
84,1,0.10962062139428903
84,2,0.006223436061814276
84,3,0.03349319994837948
84,4,0.02256487277638792
85,1,0.021025680674632848
85,2,0.028120347183192118
85,3,0.004622839709375568
85,4,0.11536445823952599
86,1,0.005229925353113349
86,2,0.10666558846487952
86,3,0.02339125969779083
86,4,0.031302952741715274
87,1,0.1046485832155896
87,2,0.03189610029042075
87,3,0.022330451819989487
87,4,0.005033383880632766
88,1,0.004942713592688725
88,2,0.10402342209617754
88,3,0.03059592807357274
88,4,0.021773523114703756
89,1,0.0048220994707505365
89,2,0.020030566782830876
89,3,0.10490284055256786
89,4,0.029031581722530984
90,1,0.020218926272817517
90,2,0.10244019081814085
90,3,0.005124581781729629
90,4,0.02843229631846859
91,1,0.025596578813254292
91,2,0.10171118522663582
91,3,0.004938483692918739
91,4,0.021434550903462822
92,1,0.004585520344622884
92,2,0.024950254527759026
92,3,0.10036399541494777
92,4,0.02130655425230478
93,1,0.004524686752203993
93,2,0.019602766199426712
93,3,0.09749820644488046
93,4,0.027186167047648143
94,1,0.019728404954988808
94,2,0.023803584205613213
94,3,0.003942356302706123
94,4,0.0988034467403422
95,1,0.004419928751298019
95,2,0.019503338130906066
95,3,0.02336950034543143
95,4,0.09662201184958429
96,1,0.01970461078956671
96,2,0.023473364480020995
96,3,0.0038859179637340366
96,4,0.09454921136551919
97,1,0.004342535915502497
97,2,0.019422390300016194
97,3,0.02297800403097151
97,4,0.09258553564705144
98,1,0.0854219268886614
98,2,0.004828912628700796
98,3,0.021410227612124414
98,4,0.025449666739205342
99,1,0.004171013035353896
99,2,0.018947634899908472
99,3,0.086988421617482
99,4,0.024864990179206962
100,1,0.004092729574981879
100,2,0.01876482765456081
100,3,0.021611629014162387
100,4,0.08820451271227964
101,1,0.022295986114852277
101,2,0.018267043808197263
101,3,0.08595735886864421
101,4,0.0040679412531157595
102,1,0.0040067059227317904
102,2,0.018580558614286084
102,3,0.02114382548710087
102,4,0.08471648421487032
103,1,0.01866774479556414
103,2,0.02115822805989834
103,3,0.003537596836003883
103,4,0.08303886725441365
104,1,0.01853848476405803
104,2,0.020914583797864886
104,3,0.0035010406085615084
104,4,0.08143016880976789
105,1,0.07538953983325186
105,2,0.0043155372130609816
105,3,0.023379529533693096
105,4,0.01931812382918469
106,1,0.02060191584988991
106,2,0.0035387602511851787
106,3,0.07730323763439673
106,4,0.01904461355488772
107,1,0.0037022990375137877
107,2,0.07385167353257503
107,3,0.019317018007810185
107,4,0.021672507174491477
108,1,0.01975130980127508
108,2,0.016879164999593806
108,3,0.07637409258681763
108,4,0.003624967815307602
109,1,0.07121456475651487
109,2,0.02167668876222409
109,3,0.018348351426737488
109,4,0.0035369223290976346
110,1,0.01899470342931381
110,2,0.01645606310918082
110,3,0.07400341892041654
110,4,0.003501898356136553
111,1,0.016842644654891967
111,2,0.003296825840810513
111,3,0.07095546538288426
111,4,0.02012896052075454
112,1,0.016643356331669478
112,2,0.06951786379368909
112,3,0.01991712777802947
112,4,0.0033850998257047415
113,1,0.0033417023371429006
113,2,0.01627809375048296
113,3,0.017403008059981618
113,4,0.07065242674576265
114,1,0.003313917123937427
114,2,0.01770832808314504
114,3,0.015711348689845365
114,4,0.0692715367796493
115,1,0.01619729068796757
115,2,0.06587048774923175
115,3,0.01908389996977617
115,4,0.0032662491614644257
116,1,0.003225669688477126
116,2,0.017163306357384923
116,3,0.015392549297686306
116,4,0.06695767448234162
117,1,0.017155356811521794
117,2,0.00302838254929031
117,3,0.015279696166329758
117,4,0.0657018360313013
118,1,0.016961942608892607
118,2,0.0030003281058177253
118,3,0.015157081566932457
118,4,0.06449676919358736
119,1,0.015574584046294833
119,2,0.061452189724621575
119,3,0.003293048653246167
119,4,0.01781619421292421
120,1,0.0030758622426244036
120,2,0.016254375868573534
120,3,0.06119078792798388
120,4,0.016109220444481778
121,1,0.016172038771423203
121,2,0.002878673461195422
121,3,0.06026258013254702
121,4,0.015857544168666766
122,1,0.014872882134664901
122,2,0.015546814514067357
122,3,0.00272325866636064
122,4,0.060552021095120714
123,1,0.015771293665004304
123,2,0.014349370985856322
123,3,0.00269947639715278
123,4,0.05947779836814931
124,1,0.015589449471390623
124,2,0.05703604944179491
124,3,0.015412992144420318
124,4,0.0029167353638181433
125,1,0.014349643699230414
125,2,0.002766687410417679
125,3,0.014840509032197496
125,4,0.05760864901745114
126,1,0.015174909269598743
126,2,0.013843297726959027
126,3,0.056388976057113904
126,4,0.002854912569067224
127,1,0.014046451277326148
127,2,0.0027105205589220017
127,3,0.014499049071190723
127,4,0.05569558109942622
128,1,0.002794487989791531
128,2,0.05242441748307771
128,3,0.016006529195927682
128,4,0.014477160857950032
129,1,0.0027388391025983177
129,2,0.014347650219936153
129,3,0.053123361429936816
129,4,0.014249706974240052
130,1,0.050914166782930974
130,2,0.015537080439531734
130,3,0.002789309013039371
130,4,0.013973102426001964
131,1,0.05037591224181809
131,2,0.002874096766981249
131,3,0.015046352947038983
131,4,0.013712309326379468
132,1,0.013666541548113264
132,2,0.05098339823660994
132,3,0.002700074821830692
132,4,0.013512332064633224
133,1,0.0491066412450597
133,2,0.013719254969608552
133,3,0.0143178282401361
133,4,0.002550283133431265
134,1,0.013234879459137016
134,2,0.012245708239572077
134,3,0.05056402729910406
134,4,0.002529784099217925
135,1,0.04773150254759826
135,2,0.01334632222412106
135,3,0.013900742763335291
135,4,0.002488240054446628
136,1,0.04718167776471778
136,2,0.013111823351070771
136,3,0.002561939650190714
136,4,0.013529080115326901
137,1,0.012648841205070118
137,2,0.04765585366013455
137,3,0.012619921868210824
137,4,0.0024226215180765892
138,1,0.012506200388219965
138,2,0.046953567096196296
138,3,0.0024869541599370684
138,4,0.01236140101614946
139,1,0.011710706088036678
139,2,0.046099135047865857
139,3,0.0024738433747160927
139,4,0.013009317113108933
140,1,0.01157518985078953
140,2,0.01193582630443799
140,3,0.0021765976989727505
140,4,0.04658638518380599
141,1,0.043915326332824536
141,2,0.013064590144138197
141,3,0.0024022322997108974
141,4,0.01191702597527861
142,1,0.04341658886169338
142,2,0.012088159347570064
142,3,0.002381960249412774
142,4,0.012455008716355204
143,1,0.011128712582379269
143,2,0.04365804958084728
143,3,0.0023547110227862063
143,4,0.012280712239850375
144,1,0.01100472577903534
144,2,0.0021651019491260946
144,3,0.011225069984574811
144,4,0.044086482039689144
145,1,0.0022249759776538586
145,2,0.010844004305814264
145,3,0.011147132782255181
145,4,0.04336165924783226
146,1,0.011369755011032533
146,2,0.041818105111156405
146,3,0.0022826478274973975
146,4,0.011242403150817235
147,1,0.002186438127836773
147,2,0.04058184008185268
147,3,0.011317299051509475
147,4,0.011753498731724564
148,1,0.0021569742426702882
148,2,0.04011765129748449
148,3,0.011144132047862314
148,4,0.011570139746870005
149,1,0.002128891312715529
149,2,0.039653503346504124
149,3,0.011626842087006095
149,4,0.010746418648805075
150,1,0.03905092493651623
150,2,0.0022478122134226403
150,3,0.01081604310594472
150,4,0.01121392580680635
151,1,0.0020746966580034577
151,2,0.03874586586906063
151,3,0.010662757587604555
151,4,0.01105438116012476
152,1,0.01043771451426561
152,2,0.038887137566530734
152,3,0.002114807995153223
152,4,0.010317899298844873
153,1,0.009841851940495007
153,2,0.010144998134176094
153,3,0.03895521922349844
153,4,0.0020352546379610206
154,1,0.037072123842446555
154,2,0.0021531129450259594
154,3,0.010902686780283439
154,4,0.010086716428360372
155,1,0.0019934821514563743
155,2,0.036790320513919575
155,3,0.010744965707367021
155,4,0.009953410907175836
156,1,0.0362415252542286
156,2,0.002099277140108292
